               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045833,            0.024115,             0.01498,                   0,                   0,                   0,                   0,            0.043288,            0.022084,            0.014555,              0.0973,              0.0003,              0.0003
                   1,            0.044446,              0.0209,            0.014806,                   0,                   0,                   0,                   0,             0.04272,             0.01932,            0.014456,            0.093691,          0.00069134,          0.00069134
                   2,            0.043912,            0.017763,            0.014633,                   0,                   0,                   0,                   0,            0.042456,            0.017345,            0.014352,            0.090073,           0.0010728,           0.0010728
                   3,            0.043529,            0.016355,            0.014555,                   0,                   0,                   0,                   0,            0.042428,            0.016029,            0.014271,            0.086444,           0.0014443,           0.0014443
                   4,              0.0432,            0.015717,            0.014389,                   0,                   0,                   0,                   0,            0.042426,            0.015134,            0.014213,            0.082806,           0.0018059,           0.0018059
                   5,            0.042992,             0.01465,            0.014269,                   0,                   0,                   0,                   0,            0.042425,             0.01453,            0.014173,            0.079158,           0.0021577,           0.0021577
                   6,            0.042875,            0.014384,            0.014225,                   0,                   0,                   0,                   0,            0.042427,            0.014067,            0.014146,              0.0755,           0.0024995,           0.0024995
                   7,            0.042393,             0.01452,            0.014181,                   0,                   0,                   0,                   0,            0.042425,            0.013682,            0.014129,            0.071831,           0.0028315,           0.0028315
                   8,            0.042749,            0.013789,            0.014142,                   0,                   0,                   0,                   0,            0.042406,            0.013438,            0.014116,            0.068154,           0.0031535,           0.0031535
                   9,            0.042291,            0.014014,            0.014102,                   0,                   0,                   0,                   0,            0.042389,            0.013274,            0.014107,            0.064466,           0.0034656,           0.0034656
                  10,            0.042352,            0.013756,            0.014081,                   0,                   0,                   0,                   0,            0.042381,            0.013108,              0.0141,            0.060768,           0.0037679,           0.0037679
                  11,            0.042262,            0.013814,            0.014058,                   0,                   0,                   0,                   0,            0.042374,            0.012949,            0.014094,             0.05706,           0.0040602,           0.0040602
                  12,             0.04216,            0.013637,            0.014032,                   0,                   0,                   0,                   0,            0.042366,            0.012819,            0.014089,            0.053343,           0.0043426,           0.0043426
                  13,             0.04176,            0.014119,            0.014062,                   0,                   0,                   0,                   0,            0.042361,            0.012698,            0.014085,            0.049615,           0.0046152,           0.0046152
                  14,            0.042098,            0.013294,            0.014057,                   0,                   0,                   0,                   0,            0.042359,            0.012575,            0.014082,            0.045878,           0.0048778,           0.0048778
                  15,            0.042092,             0.01341,            0.013985,                   0,                   0,                   0,                   0,            0.042352,            0.012496,             0.01408,            0.042131,           0.0051306,           0.0051306
                  16,            0.042228,            0.013044,            0.013988,                   0,                   0,                   0,                   0,            0.042343,            0.012457,            0.014079,            0.038373,           0.0053734,           0.0053734
                  17,            0.042091,            0.013613,            0.013986,                   0,                   0,                   0,                   0,            0.042337,            0.012412,            0.014077,            0.034606,           0.0056063,           0.0056063
                  18,            0.041991,            0.013141,             0.01398,                   0,                   0,                   0,                   0,            0.042334,            0.012347,            0.014076,            0.030829,           0.0058294,           0.0058294
                  19,            0.041829,            0.013655,            0.013984,                   0,                   0,                   0,                   0,            0.042331,            0.012283,            0.014074,            0.027043,           0.0060425,           0.0060425
                  20,            0.041801,            0.013316,            0.013871,                   0,                   0,                   0,                   0,            0.042328,            0.012219,            0.014072,            0.023246,           0.0062457,           0.0062457
                  21,            0.041815,             0.01324,            0.013916,                   0,                   0,                   0,                   0,            0.042321,            0.012177,             0.01407,            0.019439,           0.0064391,           0.0064391
