               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12351,             0.12575,            0.052814,                   0,                   0,                   0,                   0,             0.11896,             0.11988,            0.052487,                 0.1,                   0,                   0
                   1,             0.11885,             0.13062,            0.052567,                   0,                   0,                   0,                   0,              0.1185,             0.12066,            0.052422,            0.099099,          9.8763e-05,          9.8763e-05
                   2,             0.11801,             0.10423,            0.053949,                   0,                   0,                   0,                   0,             0.11805,             0.12139,            0.052358,            0.098195,          0.00019505,          0.00019505
                   3,             0.11889,             0.13722,            0.052921,                   0,                   0,                   0,                   0,             0.11748,             0.12227,            0.052279,            0.097289,          0.00028886,          0.00028886
                   4,             0.11926,             0.14616,            0.052377,                   0,                   0,                   0,                   0,             0.11687,             0.12327,            0.052182,             0.09638,           0.0003802,           0.0003802
                   5,             0.11775,             0.13029,            0.052285,                   0,                   0,                   0,                   0,              0.1162,             0.12436,            0.052065,            0.095469,          0.00046906,          0.00046906
                   6,             0.11713,             0.14034,            0.053397,                   0,                   0,                   0,                   0,             0.11568,             0.12523,            0.051974,            0.094555,          0.00055545,          0.00055545
                   7,             0.11641,              0.1493,            0.052322,                   0,                   0,                   0,                   0,             0.11508,             0.12615,             0.05187,            0.093639,          0.00063936,          0.00063936
                   8,              0.1149,             0.11961,            0.052436,                   0,                   0,                   0,                   0,             0.11448,             0.12708,             0.05177,            0.092721,           0.0007208,           0.0007208
                   9,             0.11628,             0.15631,            0.052167,                   0,                   0,                   0,                   0,             0.11389,             0.12796,            0.051664,              0.0918,          0.00079976,          0.00079976
                  10,             0.11417,             0.16768,            0.051859,                   0,                   0,                   0,                   0,             0.11334,             0.12882,            0.051555,            0.090876,          0.00087625,          0.00087625
                  11,             0.11468,             0.15431,            0.052899,                   0,                   0,                   0,                   0,             0.11291,              0.1295,            0.051472,             0.08995,          0.00095026,          0.00095026
                  12,             0.11371,             0.15765,            0.052594,                   0,                   0,                   0,                   0,             0.11248,             0.13014,            0.051389,            0.089022,           0.0010218,           0.0010218
                  13,             0.11289,             0.14148,            0.053029,                   0,                   0,                   0,                   0,             0.11206,             0.13078,            0.051313,            0.088091,           0.0010909,           0.0010909
                  14,              0.1134,             0.13137,            0.051418,                   0,                   0,                   0,                   0,             0.11163,             0.13146,            0.051217,            0.087157,           0.0011574,           0.0011574
